"airline","year","count"
"Philippine Airlines","2012","221987"
"Philippine Airlines","2013","232191"
"Philippine Airlines","2014","251360"
"Philippine Airlines","2015","249995"
"Philippine Airlines","2016","269252"
"Philippine Airlines","2017","273538"
"Philippine Airlines","2018","284339"
"Philippine Airlines","2019","231756"
"Singapore Airlines","2010","340758"
"Singapore Airlines","2011","326415"
"Singapore Airlines","2012","354417"
"Singapore Airlines","2013","377165"
"Singapore Airlines","2014","337689"
"Singapore Airlines","2015","331784"
"Singapore Airlines","2016","326183"
"Singapore Airlines","2017","322811"
"Singapore Airlines","2018","322027"
"Singapore Airlines","2019","267267"
"Sun Country Airlines","2010","50604"
"Sun Country Airlines","2011","65383"
"Sun Country Airlines","2012","90766"
"Sun Country Airlines","2013","119017"
"Sun Country Airlines","2014","138169"
"Sun Country Airlines","2015","172949"
"Sun Country Airlines","2016","172701"
"Sun Country Airlines","2017","171946"
"Sun Country Airlines","2018","155219"
"Sun Country Airlines","2019","171777"
"TACA","2010","114185"
"TACA","2011","125184"
"TACA","2012","130780"
"TACA","2013","129110"
"TACA","2014","127598"
"TACA","2015","136492"
"TACA","2016","131817"
"TACA","2017","137498"
"TACA","2018","158900"
"TACA","2019","133406"
"Virgin Atlantic","2010","216356"
"Virgin Atlantic","2011","215512"
"Virgin Atlantic","2012","259141"
"Virgin Atlantic","2013","235813"
"Virgin Atlantic","2014","237533"
"Virgin Atlantic","2015","300157"
"Virgin Atlantic","2016","282199"
"Virgin Atlantic","2017","291259"
"Virgin Atlantic","2018","312034"
"Virgin Atlantic","2019","214701"
"WestJet Airlines","2010","77062"
"WestJet Airlines","2011","86150"
"WestJet Airlines","2012","90008"
"WestJet Airlines","2013","85851"
"WestJet Airlines","2014","87970"
"WestJet Airlines","2015","85359"
"WestJet Airlines","2016","83956"
"WestJet Airlines","2017","120756"
"WestJet Airlines","2018","123866"
"WestJet Airlines","2019","131661"
"Swiss International","2010","75320"
"Swiss International","2011","139713"
"Swiss International","2012","142319"
"Swiss International","2013","148910"
"Swiss International","2014","141600"
"Swiss International","2015","161769"
"Swiss International","2016","170841"
"Swiss International","2017","192335"
"Swiss International","2018","217066"
"Swiss International","2019","160901"
