period,airline,activity,count
201606,WestJet Airlines,Deplaned,6351
201811,Air New Zealand,Deplaned,6686
201108,Air China,Deplaned,7410
201004,Singapore Airlines,Deplaned,14408
201903,SkyWest Airlines,Deplaned,205684
201907,British Airways,Deplaned,21748
201012,Air Canada,Deplaned,21057
201211,Southwest Airlines,Thru / Transit,411
201112,LAN Peru,Enplaned,3400
201412,JetBlue Airways,Deplaned,43107
201711,Air New Zealand,Enplaned,5854
201710,British Airways,Deplaned,21052
201410,Frontier Airlines,Deplaned,17331
201601,Swiss International,Enplaned,5300
201606,"COPA Airlines, Inc.",Enplaned,4371
201804,Qantas Airways,Enplaned,6729
201703,All Nippon Airways,Enplaned,7087
201703,Virgin Atlantic,Deplaned,10321
201801,China Southern,Enplaned,7619
201003,Korean Air Lines,Enplaned,4226
201801,Japan Airlines,Enplaned,5082
201306,Asiana Airlines,Deplaned,8165
201707,Thomas Cook Airlines,Deplaned,2806
201608,Delta Air Lines,Thru / Transit,154
201311,Air France,Deplaned,7170
201709,Horizon Air,Enplaned,2885
201607,All Nippon Airways,Deplaned,7907
201607,Virgin Atlantic,Enplaned,12775
201205,United Airlines - Pre 07/01/2013,Thru / Transit,4659
201211,United Airlines,Deplaned,214589
201005,Horizon Air,Enplaned,8929
201111,China Airlines,Enplaned,9727
201810,Air France,Enplaned,11881
201109,Korean Air Lines,Enplaned,5345
201004,EVA Airways,Enplaned,11164
201608,Aer Lingus,Enplaned,7515
201112,Air New Zealand,Enplaned,8809
201604,Lufthansa German Airlines,Enplaned,20762
201509,China Airlines,Deplaned,7824
201302,Air France,Deplaned,6358
201407,Air China,Deplaned,8858
201002,Mesa Airlines,Deplaned,6062
201109,WestJet Airlines,Enplaned,6888
201303,Air Canada,Deplaned,19984
201904,Hawaiian Airlines,Enplaned,14999
201503,Cathay Pacific,Deplaned,16857
201909,"COPA Airlines, Inc.",Deplaned,7144
201504,SAS Airlines,Deplaned,5757
201608,Etihad Airways,Enplaned,6614
201901,Virgin Atlantic,Enplaned,9101
201901,All Nippon Airways,Deplaned,7302
201511,Korean Air Lines,Deplaned,6819
201812,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,5179
201908,Thomas Cook Airlines,Deplaned,4031
201503,JetBlue Airways,Enplaned,59523
201507,US Airways,Deplaned,89861
201201,Horizon Air,Enplaned,6497
201706,Asiana Airlines,Enplaned,7840
201206,Philippine Airlines,Deplaned,10009
201803,Jazz Aviation,Deplaned,3827
201804,Virgin America,Deplaned,210559
201809,Philippine Airlines,Enplaned,9170
201608,United Airlines,Enplaned,951447
201612,Air India Limited,Deplaned,5619
201612,KLM Royal Dutch Airlines,Enplaned,8149
201804,Hong Kong Airlines Limited,Thru / Transit,11
201004,Emirates,Enplaned,7968
201105,LAN Peru,Deplaned,3009
201205,SkyWest Airlines,Enplaned,183292
201007,Japan Airlines,Deplaned,6878
201009,China Airlines,Deplaned,8887
201804,Aeromexico,Deplaned,12745
201807,WestJet Airlines,Enplaned,11839
201408,Frontier Airlines,Enplaned,19885
201207,US Airways,Enplaned,75450
201006,US Airways,Deplaned,57991
201808,Air Canada,Deplaned,56275
201807,Korean Air Lines,Enplaned,16673
201401,Alaska Airlines,Deplaned,45698
201309,Compass Airlines,Deplaned,24629
