period,airline,activity,count
201409,Swiss International,Deplaned,6502
201504,Air Canada,Deplaned,27281
201401,Hawaiian Airlines,Enplaned,7993
201706,XL Airways France,Enplaned,2201
201309,Air China,Enplaned,7833
201002,Singapore Airlines,Enplaned,12818
201205,US Airways,Deplaned,69551
201211,Frontier Airlines,Deplaned,18687
201411,SAS Airlines,Deplaned,4566
201406,TACA,Enplaned,5382
201007,AirTran Airways,Enplaned,23811
201109,Alaska Airlines,Enplaned,41156
201505,Air New Zealand,Deplaned,9499
201804,Air France,Enplaned,12751
201905,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,5297
201007,Philippine Airlines,Enplaned,10379
201408,Air New Zealand,Enplaned,8022
201412,Virgin America,Deplaned,167818
201611,China Eastern,Enplaned,7637
201803,SAS Airlines,Enplaned,5902
201809,Japan Airlines,Deplaned,6675
201109,Delta Air Lines,Enplaned,133153
201809,China Southern,Deplaned,8131
201507,SkyWest Airlines,Enplaned,176260
201511,Southwest Airlines,Enplaned,141640
201810,Hong Kong Airlines Limited,Thru / Transit,491
201210,United Airlines - Pre 07/01/2013,Enplaned,517451
201503,Aeromexico,Enplaned,10516
201508,XL Airways France,Enplaned,3974
201311,Aeromexico,Enplaned,6865
201505,Southwest Airlines,Thru / Transit,40
201212,Air Canada,Deplaned,18194
201305,Singapore Airlines,Deplaned,14589
201510,Singapore Airlines,Enplaned,15458
201905,Air China,Deplaned,12715
201104,Asiana Airlines,Deplaned,5734
201302,Virgin America,Enplaned,127598
201906,TACA,Enplaned,8238
201304,All Nippon Airways,Enplaned,5749
201304,Virgin Atlantic,Deplaned,9694
201109,Air Berlin,Enplaned,2851
201003,Mesaba Airlines,Enplaned,3977
201511,Alaska Airlines,Deplaned,56665
201602,China Airlines,Enplaned,8948
201811,Air France,Enplaned,8296
201101,Emirates,Deplaned,10099
201511,Delta Air Lines,Deplaned,144873
201608,Frontier Airlines,Enplaned,37143
201711,Frontier Airlines,Enplaned,16471
201410,Air New Zealand,Deplaned,7695
201109,Southwest Airlines,Deplaned,124255
201102,All Nippon Airways,Deplaned,5893
201308,Swiss International,Enplaned,6642
201102,Virgin Atlantic,Enplaned,5695
201802,Air New Zealand,Enplaned,7405
201603,"COPA Airlines, Inc.",Enplaned,4173
201612,Asiana Airlines,Enplaned,8239
201804,JetBlue Airways,Deplaned,70587
201109,Mesaba Airlines,Enplaned,736
201812,Compass Airlines,Enplaned,21465
201103,Delta Air Lines,Enplaned,112532
201611,All Nippon Airways,Enplaned,6568
201510,Turkish Airlines,Deplaned,9227
201611,Virgin Atlantic,Deplaned,8132
201401,Korean Air Lines,Deplaned,7034
201904,Alaska Airlines,Deplaned,241297
201006,United Airlines - Pre 07/01/2013,Thru / Transit,13262
201808,SAS Airlines,Deplaned,7441
201807,Alaska Airlines,Enplaned,308443
201801,Air Pacific Limited dba Fiji Airways,Enplaned,2432
201408,United Airlines,Enplaned,860524
201807,Delta Air Lines,Enplaned,229621
201510,EVA Airways,Deplaned,14470
201403,Asiana Airlines,Enplaned,7020
201904,Delta Air Lines,Deplaned,171551
201003,Southwest Airlines,Deplaned,116937
201103,Alaska Airlines,Enplaned,38665
201305,EVA Airways,Enplaned,13241
201405,Air Canada,Deplaned,31461
201505,United Airlines,Deplaned,800804
201610,Asiana Airlines,Deplaned,7869
201008,TACA,Deplaned,7357
201811,Cathay Pacific,Enplaned,21493
201805,China Airlines,Deplaned,9923
201306,XL Airways France,Deplaned,1570
201407,Compass Airlines,Enplaned,41827
201705,SkyWest Airlines,Deplaned,155795
201901,French Bee,Enplaned,2766
201906,TAP Air Portugal,Enplaned,4454
201202,TACA,Enplaned,4964
201802,Aer Lingus,Enplaned,3529
201204,JetBlue Airways,Enplaned,43322
201410,Aer Lingus,Deplaned,5234
201502,SkyWest Airlines,Enplaned,139304
201908,SkyWest Airlines,Enplaned,179118
201810,Aeromexico,Deplaned,10654
201002,Emirates,Deplaned,7280
201112,Frontier Airlines,Enplaned,17888
201311,Virgin America,Enplaned,149316
201503,Virgin America,Enplaned,169943
201011,KLM Royal Dutch Airlines,Deplaned,7638
201302,Aeromexico,Enplaned,2795
201801,Philippine Airlines,Deplaned,13466
201702,United Airlines,Enplaned,644327
201706,Air India Limited,Deplaned,5917
201706,KLM Royal Dutch Airlines,Enplaned,16512
201109,Sun Country Airlines,Deplaned,2944
201501,Air New Zealand,Deplaned,11785
201712,SkyWest Airlines,Deplaned,165870
201001,Southwest Airlines,Enplaned,104593
201201,Swiss International,Deplaned,5446
201301,Singapore Airlines,Deplaned,20256
201503,Compass Airlines,Deplaned,39820
201512,Air New Zealand,Deplaned,12635
201803,Delta Air Lines,Enplaned,136301
201909,Horizon Air,Deplaned,8803
201203,Singapore Airlines,Deplaned,13683
201707,Volaris Airlines,Deplaned,6112
201311,Compass Airlines,Deplaned,26033
201411,Alaska Airlines,Deplaned,55667
201806,XL Airways France,Deplaned,804
201411,Delta Air Lines,Deplaned,110957
201305,China Eastern,Deplaned,5818
201701,Air India Limited,Enplaned,5278
201701,KLM Royal Dutch Airlines,Deplaned,8673
201803,Alaska Airlines,Enplaned,45103
201106,JetBlue Airways,Enplaned,39035
201208,TACA,Enplaned,5567
201407,Virgin America,Deplaned,188685
201404,JetBlue Airways,Enplaned,45748
201510,China Eastern,Enplaned,5565
201805,Thomas Cook Airlines,Deplaned,2288
201804,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,2180
201905,Air France,Enplaned,20775
201809,Lufthansa German Airlines,Deplaned,22025
201009,SkyWest Airlines,Enplaned,133224
201108,Air New Zealand,Deplaned,6452
201206,Lufthansa German Airlines,Enplaned,24160
201405,Hawaiian Airlines,Enplaned,8345
201102,Emirates,Enplaned,7425
201210,Philippine Airlines,Enplaned,7262
201210,AirTran Airways,Enplaned,12596
201811,Air China,Deplaned,9627
201101,Virgin Atlantic,Deplaned,7349
201101,All Nippon Airways,Enplaned,6345
201205,China Airlines,Deplaned,9354
201303,Delta Air Lines,Deplaned,110224
201107,United Airlines - Pre 07/01/2013,Thru / Transit,11177
201303,Alaska Airlines,Deplaned,44817
201307,British Airways,Enplaned,18240
201812,Hong Kong Airlines Limited,Thru / Transit,421
201504,Korean Air Lines,Deplaned,6978
201808,Sun Country Airlines,Enplaned,8256
201304,Emirates,Deplaned,9218
201203,EVA Airways,Enplaned,11219
201709,"COPA Airlines, Inc.",Enplaned,5950
201310,US Airways,Enplaned,69656
201301,EVA Airways,Enplaned,13467
201907,Swiss International,Deplaned,9591
201001,Sun Country Airlines,Enplaned,553
201012,Alaska Airlines,Deplaned,37743
201802,WOW Air,Deplaned,2449
201902,Alaska Airlines,Enplaned,224433
201505,American Airlines,Deplaned,121730
201012,Delta Air Lines,Deplaned,114053
201902,Delta Air Lines,Enplaned,126880
201905,Cathay Pacific,Enplaned,21310
201512,Aer Lingus,Deplaned,4291
201406,Asiana Airlines,Deplaned,8254
201601,British Airways,Enplaned,18397
201812,Aeromexico,Deplaned,13696
201110,Korean Air Lines,Deplaned,5352
201110,Servisair,Enplaned,64
201611,Emirates,Deplaned,10787
201402,Horizon Air,Deplaned,4365
201408,American Airlines,Enplaned,131890
201710,Swiss International,Deplaned,9872
201501,Aer Lingus,Deplaned,3737
201108,LAN Peru,Deplaned,2690
201512,Etihad Airways,Deplaned,6628
201212,Hawaiian Airlines,Enplaned,8496
201708,XL Airways France,Deplaned,3871
201002,Virgin Atlantic,Deplaned,6846
201002,All Nippon Airways,Enplaned,5577
201501,Etihad Airways,Deplaned,8799
201001,Mesaba Airlines,Deplaned,1513
201007,Mexicana Airlines,Enplaned,11361
201808,Southwest Airlines,Enplaned,169966
201702,American Airlines,Enplaned,122533
201810,Compass Airlines,Enplaned,25514
201110,WestJet Airlines,Deplaned,5832
201309,JetBlue Airways,Enplaned,44466
201407,Aeromexico,Deplaned,14390
201410,American Airlines,Deplaned,128065
201402,British Airways,Enplaned,14354
201102,Singapore Airlines,Deplaned,10712
201412,Compass Airlines,Enplaned,35171
201802,American Airlines,Enplaned,131859
201803,Sun Country Airlines,Deplaned,4115
201803,United Airlines,Thru / Transit,833
201812,Qantas Airways,Enplaned,10449
201304,Singapore Airlines,Enplaned,12859
201405,WestJet Airlines,Deplaned,6756
201411,Sun Country Airlines,Enplaned,5732
201309,Cathay Pacific,Deplaned,16986
201903,China Airlines,Enplaned,9091
201108,United Airlines,Deplaned,91356
201012,Southwest Airlines,Enplaned,131273
201902,Southwest Airlines,Deplaned,107714
201807,SAS Airlines,Enplaned,7309
201907,"COPA Airlines, Inc.",Enplaned,8731
201203,Emirates,Enplaned,8712
201705,Volaris Airlines,Enplaned,5502
201808,Alaska Airlines,Deplaned,279788
201305,Virgin Atlantic,Enplaned,10870
201709,Swiss International,Deplaned,9351
201904,SAS Airlines,Deplaned,5423
201301,Emirates,Enplaned,9506
201305,All Nippon Airways,Deplaned,6844
201312,Swiss International,Enplaned,5812
201401,Air Canada,Deplaned,21801
201303,Sun Country Airlines,Enplaned,2719
201504,Hawaiian Airlines,Enplaned,15291
201510,All Nippon Airways,Enplaned,7097
201510,Virgin Atlantic,Deplaned,14142
201611,Turkish Airlines,Deplaned,7079
201906,Asiana Airlines,Deplaned,8386
201806,Air India Limited,Enplaned,8723
201806,KLM Royal Dutch Airlines,Deplaned,22984
201104,TACA,Enplaned,4966
201512,United Airlines,Deplaned,720176
201405,Korean Air Lines,Deplaned,6923
201702,WOW Air,Deplaned,5049
201611,EVA Airways,Deplaned,16155
201710,"COPA Airlines, Inc.",Enplaned,6201
201501,United Airlines,Deplaned,660996
201905,JetBlue Airways,Deplaned,63740
201404,Air France,Deplaned,13214
201606,British Airways,Deplaned,19698
201106,Air France,Deplaned,16598
201808,Delta Air Lines,Deplaned,233395
201107,SkyWest Airlines,Enplaned,162622
201511,SAS Airlines,Deplaned,5756
201102,EVA Airways,Enplaned,9213
201509,SkyWest Airlines,Enplaned,163194
201007,United Airlines - Pre 07/01/2013,Enplaned,573833
201803,Southwest Airlines,Deplaned,153203
201001,Delta Air Lines,Deplaned,52648
201708,Air India Limited,Enplaned,4934
201708,KLM Royal Dutch Airlines,Deplaned,14863
201905,Norwegian Air UK Ltd,Enplaned,7053
201110,Hawaiian Airlines,Enplaned,7223
201204,Air China,Enplaned,6633
201009,United Airlines - Pre 07/01/2013,Thru / Transit,10998
201108,Southwest Airlines,Thru / Transit,218
201202,Asiana Airlines,Deplaned,5786
201909,British Airways,Enplaned,19247
201001,Alaska Airlines,Deplaned,32010
201008,Asiana Airlines,Enplaned,4578
201012,Sun Country Airlines,Enplaned,4723
201811,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,2209
201902,Sun Country Airlines,Deplaned,2008
201902,United Airlines,Thru / Transit,490
201111,SkyWest Airlines,Deplaned,165189
201309,Air France,Deplaned,18734
201304,EVA Airways,Deplaned,12873
201411,Southwest Airlines,Enplaned,134577
201605,China Airlines,Deplaned,9953
201303,Southwest Airlines,Enplaned,134638
201403,TACA,Deplaned,5483
201804,Air China,Deplaned,9313
201610,TACA,Enplaned,5700
201604,Philippine Airlines,Deplaned,11016
201307,Horizon Air,Deplaned,4439
201106,Cathay Pacific,Deplaned,19021
201501,Southwest Airlines,Thru / Transit,20
201404,Cathay Pacific,Deplaned,18324
201611,Singapore Airlines,Enplaned,14002
201612,TACA,Deplaned,5764
201212,Korean Air Lines,Deplaned,6258
201212,Servisair,Enplaned,57
201512,Southwest Airlines,Thru / Transit,46
201802,Korean Air Lines,Deplaned,11608
201209,Virgin America,Deplaned,165078
201306,EVA Airways,Enplaned,14320
201410,Korean Air Lines,Enplaned,6888
201402,Air France,Enplaned,6764
201809,Volaris Airlines,Enplaned,2086
201009,Japan Airlines,Enplaned,6737
201112,Southwest Airlines,Enplaned,129271
201901,TACA,Enplaned,7259
201909,Cathay Pacific,Enplaned,14197
201007,China Airlines,Enplaned,9677
201608,Sun Country Airlines,Enplaned,10389
201711,Sun Country Airlines,Enplaned,7243
201307,JetBlue Airways,Deplaned,51884
201707,Lufthansa German Airlines,Enplaned,21749
201804,Hong Kong Airlines Limited,Deplaned,4586
201101,KLM Royal Dutch Airlines,Enplaned,6147
201603,Virgin America,Enplaned,199329
201210,US Airways,Enplaned,68088
201701,All Nippon Airways,Deplaned,7653
201701,Virgin Atlantic,Enplaned,8915
201507,Lufthansa German Airlines,Enplaned,23142
201609,Air China,Deplaned,14107
201410,WestJet Airlines,Enplaned,4869
201806,China Eastern,Deplaned,10358
201508,Singapore Airlines,Enplaned,15705
201704,Air China,Deplaned,9179
201712,Japan Airlines,Deplaned,5031
201106,British Airways,Deplaned,18698
201401,LAN Peru,Enplaned,2598
201404,British Airways,Deplaned,17754
201409,Aeromexico,Enplaned,7752
201606,Air France,Deplaned,19958
201712,China Southern,Deplaned,7856
201003,Frontier Airlines,Deplaned,13732
201405,American Airlines,Enplaned,122707
201310,Philippine Airlines,Enplaned,9524
201402,Cathay Pacific,Enplaned,15901
201010,Asiana Airlines,Enplaned,4938
201608,Air Berlin,Deplaned,5568
201408,Hawaiian Airlines,Enplaned,7400
201603,Aeromexico,Enplaned,10879
201306,Singapore Airlines,Deplaned,15351
201505,Hawaiian Airlines,Deplaned,15254
201708,China Eastern,Deplaned,10532
201310,AirTran Airways,Enplaned,11166
201905,Horizon Air,Deplaned,14867
201409,Virgin America,Enplaned,158820
201607,TACA,Enplaned,5731
201309,British Airways,Deplaned,18661
201608,Southwest Airlines,Enplaned,159185
201711,Southwest Airlines,Enplaned,163671
201706,Emirates,Deplaned,10940
201011,Emirates,Enplaned,9925
201109,Frontier Airlines,Deplaned,21567
201112,Sun Country Airlines,Enplaned,3715
201909,Air France,Enplaned,18326
201312,Compass Airlines,Enplaned,29195
201506,China Airlines,Enplaned,10503
201002,KLM Royal Dutch Airlines,Enplaned,4734
201709,Compass Airlines,Deplaned,26501
201105,Alaska Airlines,Enplaned,42240
201810,"COPA Airlines, Inc.",Deplaned,7841
201006,Lufthansa German Airlines,Enplaned,18875
201004,Asiana Airlines,Deplaned,4544
201209,Aeromexico,Deplaned,2537
201702,Hawaiian Airlines,Enplaned,13038
201906,French Bee,Enplaned,4257
201211,Alaska Airlines,Enplaned,41265
201508,Turkish Airlines,Deplaned,9548
201212,American Airlines,Enplaned,121352
201703,TACA,Deplaned,5710
201211,Delta Air Lines,Enplaned,108559
201412,Swiss International,Enplaned,5745
201601,JetBlue Airways,Deplaned,62595
201806,Iberia,Enplaned,3042
201207,Lufthansa German Airlines,Deplaned,26065
201401,Air New Zealand,Enplaned,10841
201606,Cathay Pacific,Deplaned,21759
201508,EVA Airways,Deplaned,18050
201105,Delta Air Lines,Enplaned,120622
201608,Alaska Airlines,Deplaned,65943
201711,Alaska Airlines,Deplaned,68861
201309,Horizon Air,Enplaned,5279
201801,China Airlines,Deplaned,12545
201810,Swiss International,Enplaned,8862
201909,Norwegian Air UK Ltd,Enplaned,6898
201603,Qantas Airways,Deplaned,7136
201606,JetBlue Airways,Enplaned,65951
201805,Philippine Airlines,Deplaned,13819
201802,Hawaiian Airlines,Enplaned,14241
201305,KLM Royal Dutch Airlines,Deplaned,11274
201701,China Eastern,Deplaned,11076
201905,British Airways,Enplaned,21318
201302,Swiss International,Deplaned,5482
201510,KLM Royal Dutch Airlines,Enplaned,10221
201410,Hawaiian Airlines,Deplaned,7865
201601,Cathay Pacific,Enplaned,20025
201806,All Nippon Airways,Deplaned,6980
201508,Emirates,Deplaned,14632
201511,Frontier Airlines,Enplaned,32580
201608,Delta Air Lines,Deplaned,190837
201711,Delta Air Lines,Deplaned,142625
201806,Virgin Atlantic,Enplaned,18279
201105,Air Berlin,Enplaned,1638
201706,Turkish Airlines,Deplaned,9369
201710,Compass Airlines,Deplaned,27853
201402,JetBlue Airways,Deplaned,35500
201504,American Airlines,Enplaned,118383
201105,Southwest Airlines,Deplaned,133496
201705,Lufthansa German Airlines,Deplaned,21153
201011,EVA Airways,Enplaned,9694
201706,EVA Airways,Deplaned,17647
201805,Air Pacific Limited dba Fiji Airways,Enplaned,1943
201307,Air France,Enplaned,18442
201211,Southwest Airlines,Deplaned,131385
201308,Virgin America,Deplaned,179391
201502,Lufthansa German Airlines,Enplaned,17218
201907,Compass Airlines,Deplaned,10713
201908,Lufthansa German Airlines,Enplaned,21441
201112,Alaska Airlines,Deplaned,41214
201105,Mesaba Airlines,Enplaned,8838
201104,Mesa Airlines,Enplaned,4920
201401,United Airlines,Enplaned,644051
201110,American Airlines,Enplaned,136516
201501,Air Canada,Enplaned,21350
201601,Air France,Enplaned,8406
201408,Korean Air Lines,Deplaned,8302
201811,Hong Kong Airlines Limited,Deplaned,4727
201308,Aeromexico,Deplaned,6299
201505,Korean Air Lines,Enplaned,7252
201512,Air Canada,Enplaned,28579
201602,Philippine Airlines,Enplaned,8837
201112,Delta Air Lines,Deplaned,105746
201103,Frontier Airlines,Deplaned,16134
201111,Japan Airlines,Deplaned,5555
201306,Emirates,Enplaned,9072
201811,Finnair,Enplaned,1464
201106,Horizon Air,Enplaned,6296
201404,Horizon Air,Enplaned,5114
201107,Japan Airlines,Enplaned,5190
201108,Air Canada,Enplaned,36793
201205,United Airlines - Pre 07/01/2013,Deplaned,566000
201509,China Southern,Enplaned,4971
201307,Cathay Pacific,Enplaned,18859
201408,WestJet Airlines,Deplaned,8543
201503,Swiss International,Deplaned,6391
201211,Sun Country Airlines,Deplaned,3893
201311,Swiss International,Deplaned,5541
201509,Japan Airlines,Enplaned,6380
201011,Singapore Airlines,Deplaned,13520
201105,Sun Country Airlines,Deplaned,3455
201708,All Nippon Airways,Deplaned,7515
201706,Singapore Airlines,Enplaned,15175
201708,Virgin Atlantic,Enplaned,14990
201904,Frontier Airlines,Enplaned,14207
201702,Korean Air Lines,Deplaned,8358
201505,WestJet Airlines,Enplaned,6931
201807,Frontier Airlines,Deplaned,11885
201909,JetBlue Airways,Deplaned,53376
201012,Air China,Enplaned,7194
201603,United Airlines,Enplaned,752729
201902,Air China,Deplaned,8650
201904,Air France,Deplaned,16909
201807,Air France,Enplaned,21251
201109,JetBlue Airways,Deplaned,39613
201312,American Airlines,Deplaned,125210
201709,American Airlines,Enplaned,154992
201103,Air France,Enplaned,8461
201808,ABC Aerolineas S.A. de C.V. dba Interjet,Enplaned,2549
201901,Lufthansa German Airlines,Enplaned,17829
201010,Japan Airlines,Deplaned,6606
201404,SAS Airlines,Deplaned,5024
201707,TACA,Enplaned,6224
201903,French Bee,Thru / Transit,2966
201204,Sun Country Airlines,Enplaned,3011
201801,Singapore Airlines,Deplaned,14312
201007,Emirates,Deplaned,9947
201308,Air New Zealand,Deplaned,9250
201802,Swiss International,Deplaned,6523
201209,United Airlines,Deplaned,185621
201410,Swiss International,Enplaned,6342
201601,Frontier Airlines,Deplaned,27872
201302,Hawaiian Airlines,Enplaned,7461
201511,Cathay Pacific,Deplaned,21482
201907,Air Italy S.P.A,Enplaned,2555
201507,TACA,Enplaned,7758
201406,SkyWest Airlines,Enplaned,151154
201710,WOW Air,Deplaned,5411
201804,Sun Country Airlines,Deplaned,6117
201804,United Airlines,Thru / Transit,1242
201604,Virgin Atlantic,Enplaned,11793
201004,Japan Airlines,Enplaned,5199
201602,Air India Limited,Deplaned,2926
201602,KLM Royal Dutch Airlines,Enplaned,5338
201604,All Nippon Airways,Deplaned,7043
201702,"COPA Airlines, Inc.",Enplaned,6006
201810,Hawaiian Airlines,Deplaned,15774
201411,Air China,Enplaned,5907
201503,Hawaiian Airlines,Enplaned,13964
201801,Turkish Airlines,Enplaned,9191
201301,United Airlines - Pre 07/01/2013,Deplaned,399281
201202,United Airlines - Pre 07/01/2013,Thru / Transit,7516
201009,Asiana Airlines,Deplaned,4965
201203,United Airlines - Pre 07/01/2013,Deplaned,576889
201307,Frontier Airlines,Deplaned,16041
201311,Hawaiian Airlines,Enplaned,7677
201807,Cathay Pacific,Enplaned,22426
201904,Cathay Pacific,Deplaned,25484
201412,Korean Air Lines,Enplaned,6561
201407,Air Canada,Enplaned,43735
201801,EVA Airways,Enplaned,21813
201204,Southwest Airlines,Enplaned,122846
201607,Lufthansa German Airlines,Enplaned,22921
201803,Air China,Deplaned,9154
201103,Cathay Pacific,Enplaned,20227
201209,Southwest Airlines,Thru / Transit,35
201003,JetBlue Airways,Deplaned,30857
201308,LAN Peru,Deplaned,2889
201511,Air France,Deplaned,8892
201712,Asiana Airlines,Enplaned,8869
201811,Alaska Airlines,Enplaned,266608
201506,Emirates,Deplaned,13194
201011,China Airlines,Deplaned,8522
201405,Compass Airlines,Deplaned,40320
201006,TACA,Enplaned,5497
201706,China Airlines,Enplaned,11671
201305,Philippine Airlines,Deplaned,10620
201207,TACA,Deplaned,6481
201409,United Airlines,Enplaned,744977
201703,Lufthansa German Airlines,Deplaned,20219
201812,Air Canada,Enplaned,33223
201805,Air India Limited,Enplaned,6988
201805,KLM Royal Dutch Airlines,Deplaned,13700
201811,Delta Air Lines,Enplaned,145519
201005,American Airlines,Enplaned,140620
201303,Air China,Enplaned,7689
201309,SAS Airlines,Deplaned,6356
201804,Southwest Airlines,Deplaned,163066
201305,AirTran Airways,Deplaned,6855
201510,Philippine Airlines,Enplaned,10022
201204,Alaska Airlines,Deplaned,40010
201506,EVA Airways,Deplaned,17143
201812,Jazz Aviation,Deplaned,7355
201604,China Eastern,Deplaned,5936
201810,WestJet Airlines,Enplaned,5752
201401,Aeromexico,Enplaned,10344
201003,Cathay Pacific,Enplaned,20308
201007,Singapore Airlines,Enplaned,14385
201209,Air New Zealand,Deplaned,7704
201409,Aer Lingus,Enplaned,5459
201506,Turkish Airlines,Deplaned,8582
201204,Delta Air Lines,Deplaned,110635
201001,Air China,Enplaned,5049
201308,United Airlines,Deplaned,858459
201509,Asiana Airlines,Deplaned,7665
201807,JetBlue Airways,Deplaned,78336
201909,Frontier Airlines,Deplaned,23221
201508,China Airlines,Enplaned,9893
201708,Thomas Cook Airlines,Deplaned,2525
201107,Asiana Airlines,Deplaned,8877
201310,KLM Royal Dutch Airlines,Enplaned,10378
201803,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,1090
201904,JetBlue Airways,Enplaned,60617
201109,Air France,Enplaned,17186
201804,Alaska Airlines,Enplaned,92990
201201,American Airlines,Enplaned,110538
201810,Korean Air Lines,Enplaned,14542
201801,Emirates,Enplaned,12556
201804,Delta Air Lines,Enplaned,167183
201008,SkyWest Airlines,Deplaned,150294
201103,JetBlue Airways,Deplaned,31868
201202,SkyWest Airlines,Enplaned,154128
201811,Southwest Airlines,Deplaned,143923
201002,AirTran Airways,Enplaned,6153
201705,TACA,Deplaned,5390
201002,Philippine Airlines,Enplaned,8574
201603,Air New Zealand,Enplaned,8453
201905,SAS Airlines,Enplaned,5877
201302,Korean Air Lines,Deplaned,5592
201502,TACA,Enplaned,4937
201908,TACA,Enplaned,6640
201111,Asiana Airlines,Enplaned,6311
201007,EVA Airways,Deplaned,15125
201412,Hawaiian Airlines,Deplaned,11376
201806,Thomas Cook Airlines,Deplaned,3104
201908,TAP Air Portugal,Enplaned,4802
201003,Air France,Enplaned,8405
201102,United Airlines - Pre 07/01/2013,Deplaned,412781
201511,JetBlue Airways,Enplaned,63877
201802,"COPA Airlines, Inc.",Enplaned,6947
201506,Singapore Airlines,Enplaned,15772
201409,Air New Zealand,Enplaned,8636
201606,Frontier Airlines,Enplaned,31014
201709,WOW Air,Deplaned,8069
201906,SkyWest Airlines,Enplaned,182177
201209,LAN Peru,Deplaned,2590
201503,Korean Air Lines,Deplaned,5289
201306,China Airlines,Deplaned,10833
201603,Etihad Airways,Enplaned,5007
201904,Norwegian Air UK Ltd,Deplaned,6776
201308,Southwest Airlines,Thru / Transit,254
201311,Korean Air Lines,Deplaned,5390
201304,United Airlines - Pre 07/01/2013,Enplaned,445544
201702,Swiss International,Deplaned,5139
201504,Compass Airlines,Deplaned,40167
201612,Volaris Airlines,Enplaned,5883
201109,Cathay Pacific,Enplaned,17488
201603,Aer Lingus,Enplaned,5755
201401,Virgin America,Enplaned,137426
201808,Air China,Enplaned,9977
201907,American Airlines,Enplaned,184904
201210,All Nippon Airways,Enplaned,6761
201210,Virgin Atlantic,Deplaned,11910
201402,Frontier Airlines,Deplaned,13283
201101,AirTran Airways,Enplaned,8543
201408,Swiss International,Deplaned,6606
201710,American Airlines,Enplaned,166060
201101,Philippine Airlines,Enplaned,12131
201505,Swiss International,Enplaned,6505
201610,Volaris Airlines,Deplaned,2070
201811,Sun Country Airlines,Deplaned,6261
201811,United Airlines,Thru / Transit,217
201902,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,4241
201406,Japan Airlines,Enplaned,5400
201505,Compass Airlines,Enplaned,47263
201901,Volaris Airlines,Deplaned,2092
201903,Singapore Airlines,Enplaned,14137
201304,China Airlines,Enplaned,9254
201708,Air Pacific Limited dba Fiji Airways,Enplaned,2027
201602,Virgin Atlantic,Deplaned,8329
201004,SkyWest Airlines,Enplaned,129034
201006,Mesa Airlines,Enplaned,9617
201602,All Nippon Airways,Enplaned,5764
201604,Air India Limited,Enplaned,1977
201604,KLM Royal Dutch Airlines,Deplaned,11301
201306,United Airlines - Pre 07/01/2013,Deplaned,499309
201408,Compass Airlines,Deplaned,41767
201808,Hong Kong Airlines Limited,Enplaned,4960
201205,Emirates,Enplaned,9308
201312,Hawaiian Airlines,Deplaned,8631
201709,Hawaiian Airlines,Enplaned,15949
201307,SAS Airlines,Enplaned,6299
201409,Air Canada,Deplaned,36917
201504,Swiss International,Deplaned,6116
201809,TACA,Deplaned,6280
201102,China Airlines,Deplaned,7065
201208,Lufthansa German Airlines,Enplaned,24224
201812,United Airlines,Deplaned,859192
201206,TACA,Enplaned,6373
201211,Air China,Deplaned,7075
201512,Qantas Airways,Enplaned,1836
201309,Frontier Airlines,Enplaned,18093
201010,SkyWest Airlines,Deplaned,134574
201310,China Eastern,Enplaned,5296
201702,Compass Airlines,Deplaned,22636
201109,British Airways,Enplaned,19171
201201,Korean Air Lines,Deplaned,7053
201201,Servisair,Enplaned,77
201810,American Airlines,Deplaned,165233
201605,Turkish Airlines,Enplaned,8808
201105,Air China,Deplaned,7196
201808,Finnair,Deplaned,3359
201708,Philippine Airlines,Deplaned,12751
201302,American Airlines,Enplaned,104109
201605,EVA Airways,Enplaned,17951
201407,United Airlines,Deplaned,880901
201103,Horizon Air,Deplaned,5953
201209,Air Canada,Enplaned,28961
201907,WestJet Airlines,Deplaned,15337
201908,El Al Israel Airlines LTD.,Enplaned,2818
201106,Frontier Airlines,Enplaned,21418
201607,Volaris Airlines,Deplaned,8568
201805,Virgin Atlantic,Enplaned,14007
201404,Frontier Airlines,Enplaned,16000
201805,All Nippon Airways,Deplaned,5955
201003,British Airways,Enplaned,13721
201806,Philippine Airlines,Deplaned,13001
201903,EVA Airways,Deplaned,24831
201806,Icelandair EHF,Enplaned,3581
201904,Horizon Air,Enplaned,15374
201807,Horizon Air,Deplaned,6286
201812,Southwest Airlines,Thru / Transit,59
201503,American Airlines,Enplaned,118333
201710,WestJet Airlines,Deplaned,6725
201903,Turkish Airlines,Deplaned,9674
201311,American Airlines,Enplaned,118110
201611,China Airlines,Enplaned,10006
201704,Delta Air Lines,Enplaned,144551
201005,Hawaiian Airlines,Enplaned,7344
201806,Air Pacific Limited dba Fiji Airways,Enplaned,2683
201703,Volaris Airlines,Enplaned,4030
201609,Alaska Airlines,Enplaned,63559
201907,Korean Air Lines,Deplaned,16243
201603,Air Canada,Deplaned,27767
201407,Southwest Airlines,Thru / Transit,32
201305,US Airways,Deplaned,74165
201605,Singapore Airlines,Deplaned,12252
201601,SAS Airlines,Enplaned,4954
201110,Swiss International,Deplaned,6437
201609,Delta Air Lines,Enplaned,141560
201510,US Airways,Enplaned,43498
